IsVant	Form	BaseSyllables	BaseUnderlyingAccent	FinalSeg-vowel	FS-[+high]	FS-[+long]	FS-[+round]	FS-[+coronal]	FS-[+anterior]	FS-[+back]	FS-[+continuant]	FS-[+nasal]	FS-[+son]	2SRetroPalatal	2Siu
1	Azvaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	kAzaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	zavasaavant	3	1	1	0	1	0	0	0	0	1	0	1	0	0
1	prahaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	sAhaavant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	sahAAvant	2	1	1	0	1	0	0	0	0	1	0	1	0	0
1	sAkhivant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
1	arcivAnt	2	0	1	1	0	0	0	0	0	1	0	1	1	0
1	pAtivant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
1	pUramdhivant	3	1	1	1	0	0	0	0	0	1	0	1	0	0
1	jAnivant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
1	agnivAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
1	rayivAnt	2	0	1	1	0	0	0	0	0	1	0	1	0	0
1	hArivant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
1	vajrIvant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
1	Adrivant	2	1	1	1	0	0	0	0	0	1	0	1	0	0
1	Iivant	1	1	1	1	1	0	0	0	0	1	0	1	0	0
1	kIIvant	1	1	1	1	1	0	0	0	0	1	0	1	0	0
1	zAcIIvant	2	1	1	1	1	0	0	0	0	1	0	1	1	0
1	vrcIIvant	2	1	1	1	1	0	0	0	0	1	0	1	1	0
1	aSThiivAnt	2	0	1	1	1	0	0	0	0	1	0	1	0	0
1	ziprINiivant	3	1	1	1	1	0	0	0	0	1	0	1	0	0
1	ghRniivant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	sArasvatiivant	4	1	1	1	1	0	0	0	0	1	0	1	0	0
1	svAdhitiivant	3	1	1	1	1	0	0	0	0	1	0	1	0	0
1	zAktiivant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	sAptiivant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	dhIIvant	1	1	1	1	1	0	0	0	0	1	0	1	0	0
1	vaajIniivant	3	1	1	1	1	0	0	0	0	1	0	1	0	0
1	pAtniivant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	zImiivant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	tAviSiivant	3	1	1	1	1	0	0	0	0	1	0	1	0	0
1	RSiivant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	hRSiivant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	kakSIIvant	2	1	1	1	1	0	0	0	0	1	0	1	0	0
1	vISnuvant	2	1	1	1	0	1	0	0	0	1	0	1	0	0
1	viSuuvAnt	2	0	1	1	1	1	0	0	0	1	0	1	0	0
1	nrvAnt	1	0	0	0	0	0	1	0	0	1	0	1	0	0
1	revAnt	1	0	1	0	1	0	0	0	0	1	0	1	0	0
1	vIvakvant	2	1	0	1	0	0	0	0	1	0	0	0	0	0
1	Rkvant	1	1	0	1	0	0	0	0	1	0	0	0	0	0
1	vipRkvant	2	1	0	1	0	0	0	0	1	0	0	0	0	0
1	romANvant	2	1	0	0	0	0	1	0	0	0	1	1	0	0
1	vArmaNvant	2	1	0	0	0	0	1	0	0	0	1	1	0	0
1	puuSaNvAnt	2	0	0	0	0	0	1	0	0	0	1	1	0	0
1	vRSaNvant	2	1	0	0	0	0	1	0	0	0	1	1	0	0
1	akSaNvAnt	2	0	0	0	0	0	1	0	0	0	1	1	0	0
1	datvAnt	1	0	0	0	0	0	1	1	0	0	0	0	0	0
1	pravAtvant	2	1	0	0	0	0	1	1	0	0	0	0	0	0
1	hAritvant	2	1	0	0	0	0	1	1	0	0	0	0	0	1
1	niyUtvant	2	1	0	0	0	0	1	1	0	0	0	0	0	1
1	marUtvant	2	1	0	0	0	0	1	1	0	0	0	0	0	1
1	aavRtvant	2	1	0	0	0	0	1	1	0	0	0	0	0	0
1	padvAnt	1	0	0	0	0	0	1	1	0	0	0	0	0	0
1	zarAdvant	2	1	0	0	0	0	1	1	0	0	0	0	0	0
1	pRSadvant	2	1	0	0	0	0	1	1	0	0	0	0	0	0
1	asthanvAnt	2	0	0	0	0	0	1	1	0	0	1	1	0	0
1	udanvAnt	2	0	0	0	0	0	1	1	0	0	1	1	0	0
1	dadhanvAnt	2	0	0	0	0	0	1	1	0	0	1	1	0	0
1	vAnanvant	2	1	0	0	0	0	1	1	0	0	1	1	0	0
1	daamanvant	2	1	0	0	0	0	1	1	0	0	1	1	0	0
1	Omanvant	2	1	0	0	0	0	1	1	0	0	1	1	0	0
1	aatmanvAnt	2	0	0	0	0	0	1	1	0	0	1	1	0	0
1	Azmanvant	2	1	0	0	0	0	1	1	0	0	1	1	0	0
1	dhvasmanvAnt	2	0	0	0	0	0	1	1	0	0	1	1	0	0
1	Arvant	1	1	0	0	0	0	1	0	0	1	0	1	0	0
1	antArvant	2	1	0	0	0	0	1	0	0	1	0	1	0	0
1	sUvarvant	2	1	0	0	0	0	1	0	0	1	0	1	0	0
1	aazIIrvant	2	1	0	0	0	0	1	0	0	1	0	1	0	0
1	zAzvant	1	1	0	1	0	0	1	1	0	1	0	0	0	0
1	pIpiSvant	2	1	0	0	0	0	1	0	0	1	0	0	0	0
1	mAhiSvant	2	1	0	0	0	0	1	0	0	1	0	0	0	0
1	vyAcasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	pAAjasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	Ojasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	UUrjasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	drAviNasvant	3	1	0	0	0	0	1	1	0	1	0	0	0	0
1	rEkNasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	rOdhasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	Anasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	mAnasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	Enasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	Apnasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	tApasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	nAbhasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	rAbhasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	nAmasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	pAyasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	prAyasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	vAyasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	pArasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	sArasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	hArasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	Angirasvant	3	1	0	0	0	0	1	1	0	1	0	0	0	0
1	Indrasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	tAvasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	vIvasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	pIIvasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	yAzasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	hESasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	mAhasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	sAhasvant	2	1	0	0	0	0	1	1	0	1	0	0	0	0
1	dAAsvant	1	1	0	0	0	0	1	1	0	1	0	0	0	0
1	bhAAsvant	1	1	0	0	0	0	1	1	0	1	0	0	0	0
1	yahvAnt	1	0	0	0	0	0	0	0	0	1	0	0	0	0
